Brand,HotelFeatures,HotelAttributes,KidsServices,Price,altID,obsID,qID,respID
Hilton,Connected room guaranteed,Variety of restaurants,Kids activities planned by hotel staff,AU 245,1,119,9,11
DoubleTree,Large spacious rooms,Access to sports facilities,Kids Club,AU 270,2,119,9,11
Marriott,Large spacious rooms,All inclusive,Playground or Kids only play areas,AU 195,1,120,10,11
Hilton,Family activities located nearby,Complimentary breakfast,Kids eat free,AU 220,2,120,10,11
Novotel,Pool,Access to sports facilities,Kids activities planned by hotel staff,AU 245,1,121,11,11
Intercontinental,Central or desirable location,Babysitting service,Kids Club,AU 270,2,121,11,11
Hilton,Central or desirable location,Variety of restaurants,Playground or Kids only play areas,AU 195,1,122,1,12
DoubleTree,Connected room guaranteed,Access to sports facilities,Kids eat free,AU 220,2,122,1,12
Hilton,Connected room guaranteed,All inclusive,Kids Club,AU 245,1,123,2,12
DoubleTree,Large spacious rooms,Complimentary breakfast,Playground or Kids only play areas,AU 270,2,123,2,12
DoubleTree,Pool,Complimentary breakfast,Playground or Kids only play areas,AU 245,1,124,3,12
Novotel,Central or desirable location,Variety of restaurants,Kids eat free,AU 270,2,124,3,12
Marriott,Family activities located nearby,Complimentary breakfast,Kids eat free,AU 195,1,125,4,12
Hilton,Pool,Variety of restaurants,Kids themed rooms,AU 220,2,125,4,12
Marriott,Pool,Babysitting service,Kids activities planned by hotel staff,AU 220,1,126,5,12
Hilton,Central or desirable location,All inclusive,Kids Club,AU 245,2,126,5,12
Hilton,Connected room guaranteed,Babysitting service,Playground or Kids only play areas,AU 245,1,127,6,12
DoubleTree,Large spacious rooms,All inclusive,Kids eat free,AU 270,2,127,6,12
Novotel,Large spacious rooms,All inclusive,Kids Club,AU 195,1,128,7,12
Intercontinental,Family activities located nearby,Complimentary breakfast,Playground or Kids only play areas,AU 220,2,128,7,12
Marriott,Family activities located nearby,Complimentary breakfast,Kids Club,AU 195,1,129,8,12
Hilton,Pool,Variety of restaurants,Playground or Kids only play areas,AU 220,2,129,8,12
DoubleTree,Pool,All inclusive,Kids activities planned by hotel staff,AU 270,1,130,9,12
Novotel,Central or desirable location,Complimentary breakfast,Kids Club,AU 295,2,130,9,12
DoubleTree,Pool,Variety of restaurants,Kids Club,AU 195,1,131,10,12
Novotel,Central or desirable location,Access to sports facilities,Playground or Kids only play areas,AU 220,2,131,10,12
DoubleTree,Central or desirable location,Babysitting service,Playground or Kids only play areas,AU 195,1,132,11,12
Novotel,Connected room guaranteed,All inclusive,Kids eat free,AU 220,2,132,11,12
Novotel,Family activities located nearby,Babysitting service,Kids themed rooms,AU 220,1,133,1,13
Intercontinental,Pool,All inclusive,Kids activities planned by hotel staff,AU 245,2,133,1,13
